RA,DEC,mag,e_Gmag,pmRA,pmDE,Plx,catalog
266.00204025917,-39.18841174221,15.938984,0.003851,2.606,2.069,2.286,Gaia
266.01858035044,-39.18812055871,13.634567,0.002792,-4.481,-4.055,0.0324,Gaia
266.01295816734,-39.18698201013,12.306402,0.00276,1.361,-1.154,0.5137,Gaia
266.01151619445,-39.18661038361,13.649103,0.002762,6.146,5.464,1.0188,Gaia
266.01061554478,-39.17909977933,15.967966,0.002799,-2.767,-6.157,0.1643,Gaia
265.99319467408,-39.18365679462,12.750589,0.00276,-0.192,1.669,0.561,Gaia
265.99438136076,-39.18496599662,14.38351,0.002762,-7.706,-12.738,1.0351,Gaia
266.00592422374,-39.17110198867,15.024994,0.00277,-2.307,-1.488,0.4276,Gaia
265.99779583071,-39.18006803671,15.875302,0.002818,-1.806,-9.401,-0.036,Gaia
265.99313224161,-39.17147822487,15.128182,0.002775,-5.024,-6.214,0.1237,Gaia
266.02012819222,-39.1804475827,15.4866,0.003261,-1.591,1.717,0.507,Gaia
266.02670562312,-39.17986720954,14.647956,0.002782,0.36,-3.933,0.0806,Gaia
266.01803852215,-39.16721057302,15.93372,0.003148,3.905,-9.076,0.3869,Gaia
266.03147526422,-39.16113751496,15.143319,0.00277,-1.987,-2.757,0.7735,Gaia
266.03985012837,-39.15636997291,15.968981,0.002786,2.268,1.339,0.4043,Gaia
266.03139436206,-39.16401380166,15.902527,0.002791,0.417,-2.932,0.0957,Gaia
266.03399884202,-39.16850863314,14.606582,0.002765,-0.121,-1.304,0.6505,Gaia
266.03206522358,-39.16526480055,13.612237,0.00291,-5.134,-6.906,0.0959,Gaia
266.02851068602,-39.15575723151,13.515683,0.002764,3.226,7.492,1.0323,Gaia
266.01826184033,-39.16306987099,15.522105,0.002777,-4.325,-4.075,0.1478,Gaia
266.0143796009,-39.16323462601,15.486292,0.00278,0.556,1.128,0.2457,Gaia
266.0149902566,-39.15630864932,14.97809,0.002767,-6.758,-11.525,1.0579,Gaia
266.01006295449,-39.15358764196,15.9052,0.002776,-5.8,-5.463,0.0756,Gaia
266.02596872877,-39.1564900604,14.303973,0.002762,0.064,3.554,0.3134,Gaia
266.02156322925,-39.15303268094,15.625004,0.002778,-1.363,-3.911,0.1001,Gaia
266.02325376131,-39.15330869798,14.796451,0.002771,3.198,7.514,1.1135,Gaia
266.01974451132,-39.15440121939,15.426326,0.002771,-0.613,-4.662,0.0942,Gaia
265.97475981083,-39.18076142205,15.900299,0.002782,-1.546,-8.734,0.0292,Gaia
265.98102988485,-39.17225451146,14.365607,0.002796,-2.363,-6.027,0.0695,Gaia
265.97983921485,-39.18218408452,15.450112,0.002774,-1.705,-9.717,0.0857,Gaia
265.98438022113,-39.17791675723,15.867984,0.002783,-2.991,-2.702,0.1064,Gaia
265.98215882357,-39.17945878829,15.806133,0.00279,-3.657,-6.567,-0.003,Gaia
265.97891866595,-39.16742878875,15.832859,0.002779,-4.187,-4.631,0.1781,Gaia
265.98958336904,-39.17257221177,13.501056,0.002764,-4.151,-0.163,0.2771,Gaia
265.98735082555,-39.16708310585,15.51873,0.002776,-4.079,-6.123,0.0961,Gaia
265.98710481068,-39.15591368774,15.93224,0.002788,-3.962,-9.207,-0.0116,Gaia
265.9921976269,-39.16324812398,14.129647,0.00279,-1.255,-0.123,0.0665,Gaia
265.99301784179,-39.16121092229,15.474256,0.00278,-2.092,-7.075,0.1163,Gaia
265.98543907257,-39.16696034271,15.963382,0.002788,-1.184,-3.967,0.4352,Gaia
265.98323019673,-39.16341602214,15.736657,0.002788,-1.295,-5.164,0.0707,Gaia
265.96694560547,-39.16844945317,15.539285,0.002775,0.394,-13.822,0.7971,Gaia
265.96766788024,-39.16820099443,15.683413,0.002795,-1.075,-8.511,0.0907,Gaia
265.966110653,-39.16464775618,15.687202,0.00281,-2.109,-8.306,0.2059,Gaia
265.9666859539,-39.16236955136,15.676833,0.002854,-1.942,-1.186,0.7198,Gaia
265.96422240214,-39.15970092378,15.508859,0.002865,8.916,-11.218,1.3764,Gaia
265.95948460214,-39.15948580409,14.336563,0.002857,-2.157,3.303,2.2118,Gaia
265.9604578172,-39.15869198594,14.563232,0.002764,-1.319,-2.707,0.3948,Gaia
265.97372175175,-39.15542021587,13.344164,0.004207,-4.994,-3.764,0.0694,Gaia
265.97469331519,-39.14528229438,15.397565,0.002774,-0.254,-7.228,0.56,Gaia
265.99592050545,-39.15422105636,15.874301,0.002788,-3.275,-5.182,0.1255,Gaia
266.00116096999,-39.15934723818,15.321514,0.002785,-0.906,-2.991,0.4397,Gaia
266.0012687479,-39.15432981307,15.736417,0.00278,2.293,-5.047,0.7554,Gaia
266.02004870015,-39.13857660861,15.787692,0.002781,-2.429,-7.711,0.1561,Gaia
266.0185162565,-39.13354550415,15.907812,0.002938,-0.471,-4.355,0.4457,Gaia
266.00991807095,-39.13034944864,15.370188,0.002769,0.133,-0.77,0.4414,Gaia
266.01693613249,-39.14318446229,14.403448,0.002783,-4.449,-3.665,0.1076,Gaia
266.01885553395,-39.14120872043,15.396915,0.002774,-4.559,-7.946,0.2113,Gaia
265.99003792244,-39.13875507294,13.625785,0.002865,1.488,-4.732,0.8605,Gaia
265.99566311637,-39.13573966577,13.653906,0.002759,-5.702,-7.045,0.8895,Gaia
