Timestamp,Telescope,Filter,Magnitude,Error,Source
2025-02-27 02:29:14,,OMEGA_apphot_ip,18.806202106,0.086,OMEGA_apphot_ip
2025-02-27 01:51:04,,OMEGA_apphot_gp,20.199836186,0.111,OMEGA_apphot_gp
2025-02-27 01:51:04,,OMEGA_cal_apphot_gp,18.400359252,0.105,OMEGA_cal_apphot_gp
2025-02-27 01:50:36,,OMEGA_apphot_gp,20.10474601,0.062,OMEGA_apphot_gp
2025-02-27 01:50:36,,OMEGA_cal_apphot_gp,18.312528525,0.061,OMEGA_cal_apphot_gp
2025-02-27 01:46:37,,OMEGA_cal_apphot_ip,16.558920652,0.049,OMEGA_cal_apphot_ip
2025-02-27 01:46:37,,OMEGA_apphot_ip,18.756010654,0.048,OMEGA_apphot_ip
2025-02-27 01:45:38,,OMEGA_apphot_gp,20.263504883,0.115,OMEGA_apphot_gp
2025-02-27 01:45:38,,OMEGA_cal_apphot_gp,18.459167304,0.109,OMEGA_cal_apphot_gp
2025-02-27 01:44:12,,OMEGA_cal_apphot_ip,16.593617256,0.079,OMEGA_cal_apphot_ip
2025-02-27 01:44:12,,OMEGA_apphot_ip,18.791452944,0.079,OMEGA_apphot_ip
2025-02-27 01:41:46,,OMEGA_apphot_ip,18.783015943,0.053,OMEGA_apphot_ip
2025-02-27 01:41:46,,OMEGA_cal_apphot_ip,16.585357765,0.054,OMEGA_cal_apphot_ip
2025-02-27 01:41:37,,OMEGA_apphot_ip,18.820105699,0.115,OMEGA_apphot_ip
2025-02-27 01:41:37,,OMEGA_cal_apphot_ip,16.621667174,0.114,OMEGA_cal_apphot_ip
2025-02-27 01:39:21,,OMEGA_apphot_ip,18.774095128,0.064,OMEGA_apphot_ip
2025-02-27 01:39:21,,OMEGA_cal_apphot_ip,16.576624639,0.064,OMEGA_cal_apphot_ip
2025-02-27 01:39:12,,OMEGA_apphot_ip,18.756197761,0.064,OMEGA_apphot_ip
2025-02-27 01:39:12,,OMEGA_cal_apphot_ip,16.559103822,0.064,OMEGA_cal_apphot_ip
2025-02-27 01:36:45,,OMEGA_cal_apphot_ip,16.581896221,0.04,OMEGA_cal_apphot_ip
2025-02-27 01:36:45,,OMEGA_apphot_ip,18.779480005,0.038,OMEGA_apphot_ip
2025-02-27 01:34:20,,OMEGA_apphot_ip,18.749348962,0.072,OMEGA_apphot_ip
2025-02-27 01:34:20,,OMEGA_cal_apphot_ip,16.552399118,0.072,OMEGA_cal_apphot_ip
2025-02-26 18:49:46,,OMEGA_apphot_gp,20.233454612,0.088,OMEGA_apphot_gp
2025-02-26 18:49:46,,OMEGA_cal_apphot_gp,18.431411154,0.084,OMEGA_cal_apphot_gp
2025-02-26 18:46:06,,OMEGA_cal_apphot_gp,18.322273596,0.068,OMEGA_cal_apphot_gp
2025-02-26 18:46:06,,OMEGA_apphot_gp,20.115296537,0.069,OMEGA_apphot_gp
2025-02-26 18:44:20,,OMEGA_apphot_gp,20.1580385,0.084,OMEGA_apphot_gp
2025-02-26 18:44:20,,OMEGA_cal_apphot_gp,18.361752518,0.08,OMEGA_cal_apphot_gp
2025-02-26 18:40:39,,OMEGA_cal_apphot_gp,18.338271603,0.065,OMEGA_cal_apphot_gp
2025-02-26 18:40:39,,OMEGA_apphot_gp,20.132616824,0.066,OMEGA_apphot_gp
2025-02-26 18:40:20,,OMEGA_cal_apphot_ip,16.571623179,0.062,OMEGA_cal_apphot_ip
2025-02-26 18:40:20,,OMEGA_apphot_ip,18.768986178,0.062,OMEGA_apphot_ip
2025-02-26 18:37:55,,OMEGA_apphot_ip,18.828356945,0.103,OMEGA_apphot_ip
2025-02-26 18:37:55,,OMEGA_cal_apphot_ip,16.629744819,0.102,OMEGA_cal_apphot_ip
2025-02-26 18:36:39,,OMEGA_apphot_ip,18.785369079,0.076,OMEGA_apphot_ip
2025-02-26 18:36:39,,OMEGA_cal_apphot_ip,16.587661393,0.076,OMEGA_cal_apphot_ip
2025-02-26 18:35:30,,OMEGA_cal_apphot_ip,16.579569906,0.087,OMEGA_cal_apphot_ip
2025-02-26 18:35:30,,OMEGA_apphot_ip,18.777103694,0.088,OMEGA_apphot_ip
2025-02-26 18:34:14,,OMEGA_cal_apphot_ip,16.605480246,0.084,OMEGA_cal_apphot_ip
2025-02-26 18:34:14,,OMEGA_apphot_ip,18.803570888,0.085,OMEGA_apphot_ip
2025-02-26 18:33:05,,OMEGA_apphot_ip,18.79903532,0.094,OMEGA_apphot_ip
2025-02-26 18:33:05,,OMEGA_cal_apphot_ip,16.601040104,0.094,OMEGA_cal_apphot_ip
2025-02-26 18:31:48,,OMEGA_cal_apphot_ip,16.613546757,0.06,OMEGA_cal_apphot_ip
2025-02-26 18:31:48,,OMEGA_apphot_ip,18.811810761,0.059,OMEGA_apphot_ip
2025-02-26 18:29:23,,OMEGA_cal_apphot_ip,16.570451253,0.057,OMEGA_cal_apphot_ip
2025-02-26 18:29:23,,OMEGA_apphot_ip,18.767789066,0.057,OMEGA_apphot_ip
2025-02-26 18:18:13,,OMEGA_cal_apphot_gp,18.414767582,0.101,OMEGA_cal_apphot_gp
2025-02-26 18:18:13,,OMEGA_apphot_gp,20.215435403,0.107,OMEGA_apphot_gp
2025-02-26 18:12:47,,OMEGA_cal_apphot_gp,18.42505096,0.073,OMEGA_cal_apphot_gp
2025-02-26 18:12:47,,OMEGA_apphot_gp,20.226568731,0.075,OMEGA_apphot_gp
2025-02-26 18:08:47,,OMEGA_apphot_ip,18.845724058,0.062,OMEGA_apphot_ip
2025-02-26 18:08:47,,OMEGA_cal_apphot_ip,16.646746537,0.062,OMEGA_cal_apphot_ip
2025-02-26 18:06:21,,OMEGA_apphot_ip,18.801057685,0.146,OMEGA_apphot_ip
2025-02-26 18:06:21,,OMEGA_cal_apphot_ip,16.603019919,0.144,OMEGA_cal_apphot_ip
2025-02-26 18:03:56,,OMEGA_apphot_ip,18.875999738,0.09,OMEGA_apphot_ip
2025-02-26 18:03:56,,OMEGA_cal_apphot_ip,16.676385234,0.09,OMEGA_cal_apphot_ip
2025-02-26 18:01:31,,OMEGA_apphot_ip,18.811248768,0.071,OMEGA_apphot_ip
2025-02-26 18:01:31,,OMEGA_cal_apphot_ip,16.612996588,0.071,OMEGA_cal_apphot_ip
2025-02-26 17:47:46,,OMEGA_cal_apphot_gp,18.416334355,0.107,OMEGA_cal_apphot_gp
2025-02-26 17:47:46,,OMEGA_apphot_gp,20.217131675,0.113,OMEGA_apphot_gp
2025-02-26 17:43:50,,OMEGA_apphot_ip,18.862877758,0.121,OMEGA_apphot_ip
