RA,DEC,B,B_err,V,V_err,R,R_err,I,I_err
276.93134744,-26.67974262,18.947839000000002,0.03895654861509166,17.853778,0.01769396281221366,17.227593,0.019852436878126573,16.580246999999996,0.019419981462401037
276.93317825,-26.67880799,19.303894,0.038956949213202,18.471388,0.018441263731100426,17.987378,0.020521338284819536,17.489262,0.018871740566254083
276.93405584,-26.68050945,19.350302999999997,0.17547560579180227,18.621306,0.12361002658360688,18.193561,0.12395184720285535,17.784119,0.11417725924193486
276.93546188,-26.68307774,18.491417000000002,0.037582740719644174,17.070134000000003,0.01697225971990766,16.266078999999998,0.019211715175902436,15.576441,0.020002559836180968
276.9389939,-26.68015847,19.623040000000003,0.038019389263900596,18.39208,0.016280633894292938,17.69148,0.018603554767839398,17.059919999999998,0.019419190508360537
276.94089774,-26.67832805,19.586487,0.03606096282685752,18.599274,0.018440416481196948,18.031169,0.020520148634939273,17.493551,0.020002175881638478
276.94568824,-26.68098767,19.324567000000002,0.03947207828326246,18.515434,0.03890057500860366,18.044128999999998,0.03992991391175293,17.649391,0.08649539215472696
276.945689,-26.67783092,19.466074000000003,0.036780240347229924,18.477748000000002,0.02506188181282483,17.909038,0.026629926774214007,17.385402,0.038486024476425205
276.94739593,-26.67943541,17.745956,0.035739050798811095,16.439312,0.016279890908725402,15.697572,0.018602538805227633,15.029788,0.020617030630039817
276.94963288,-26.68357739,19.399644000000002,0.03544369444626223,18.288888,0.016279798033145252,17.653627999999998,0.01860241180599978,17.058011999999998,0.02000141434999035
276.95075392,-26.6774711,19.57329,0.03607224506459225,18.62058,0.032313315150259654,18.07123,0.03354452116218087,17.620169999999998,0.019423369017757965
276.95222625,-26.6792134,18.005852,0.03640515403071384,17.135504,0.016280103193776138,16.630924,0.018602829085921313,16.158196,0.02000185591388959
276.95927815,-26.67607097,19.179437000000004,0.03640634477670067,18.359174,0.018440514092616832,17.881818999999997,0.02052028569489226,17.334901,0.018870438256701934
276.96132182,-26.68298002,18.210965,0.03544369444626223,17.23043,0.016279798033145252,16.665954999999997,0.01860241180599978,16.163445,0.019417944690414583
276.96655531,-26.6758035,19.574122000000003,0.0375844631729655,18.470044,0.020001843115073168,17.838414,0.021934338376162613,17.301906,0.01941986282134866
276.97294546,-26.6752735,19.431812,0.03606142764783447,18.472424,0.01921075573734672,17.919444,0.021215160263358842,17.412276,0.018870465389067646
276.85228299,-26.6683091,18.101636,0.03573871116870333,17.195672,0.01562151798001718,16.671732,0.018029135447935378,16.159428,0.020616900251977745
276.85561391,-26.66756827,19.210373999999998,0.036059760675855854,18.333348,0.01627999262899096,17.825138,0.018602677898625238,17.307302,0.01941823472924354
276.85699971,-26.67044382,19.329117999999998,0.038527893531829636,18.327436,0.060212522949964487,17.751466,0.06088395622000922,17.347614,0.03668751940374274
276.86011387,-26.67052212,19.405469999999998,0.03573871116870333,18.29694,0.01562151798001718,17.662889999999997,0.018029135447935378,17.104309999999998,0.02000141434999035
276.86427413,-26.67385492,18.107354,0.03640482061485814,16.629308,0.01562173921175232,15.794398000000001,0.018029434960641445,15.056842,0.018869787068220987
276.86517785,-26.66726128,19.474581,0.03677830735637517,18.307062,0.02247398958796591,17.640946999999997,0.024210025299449812,17.014413,0.018871740566254083
276.86602459,-26.671868,16.486674,0.03544335198595076,15.720948,0.015621421190147842,15.273238000000001,0.018029004409561834,14.816201999999999,0.020616769873091176
276.86946938,-26.67380916,19.307290000000002,0.038023037753446266,18.35458,0.022474287530420183,17.805229999999998,0.024210457451275057,17.32817,0.018872371340136352
276.87055762,-26.66973222,19.546411000000003,0.03606096282685752,18.278722000000002,0.018440416481196948,17.558157,0.020520148634939273,16.888002999999998,0.018870268678532375
276.87827621,-26.67094922,19.510831,0.03802011898981906,18.621562,0.017693669828500812,18.106696999999997,0.019852028863569588,17.578663,0.040312742997717234
276.88088476,-26.66811933,16.914787,0.03517367299558009,16.038874,0.015000777579845652,15.531269,0.017493897507416693,15.041451,0.018869061237910063
276.8815542,-26.67006989,19.181219,0.036405916112632025,18.376538,0.0176931815115315,17.907653,0.01985134882067211,17.358987,0.020617626633538593
276.88343733,-26.67217455,18.898263,0.03573871116870333,18.080226,0.01562151798001718,17.604080999999997,0.018029135447935378,17.169199,0.02334644675319994
276.88727997,-26.67160758,18.734731999999997,0.036405916112632025,17.597264,0.0176931815115315,16.947484,0.01985134882067211,16.269436,0.020002163083026794
276.88898711,-26.67240716,17.994243,0.03640551919695694,16.575186000000002,0.016971890643060365,15.772341,0.019211205714374097,15.043739,0.019418551130298056
276.88905994,-26.67403753,19.539416,0.16273558687638054,18.700232,0.12062219556947221,18.212592,0.12097077425973597,17.744368,0.11219250570336683
276.89178708,-26.67329584,19.375064000000002,0.037587969351908335,18.642728,0.025062054185561088,18.213168,0.02663018024723077,17.543672,0.036676824290006356
