objid,RA,Dec,r,dr,g,dg,i,di,dupvar,x,y
75972769049736270,276.90497318,-26.68669409,18.186,0.023,18.639,0.025,17.737,0.077,2,766.5051703110494,965.9072159964642
75972769007302572,276.90073092,-26.68977619,14.889,0.01,16.082,0.01,14.32,0.01,2,790.9942351649438,985.6883012865014
75972768989218692,276.89892163,-26.68467614,17.97,0.012,18.867,0.015,17.606,0.021,2,801.2856517740272,952.807975867081
75972768964295359,276.89642998,-26.68745352,14.709,0.011,15.837,0.01,14.193,0.01,2,815.6918123404325,970.6562745879278
75972768945120399,276.89451235,-26.69158738,18.291,0.013,18.992,0.013,17.958,0.018,2,826.8256846381485,997.2515667130384
75972768917568646,276.89175694,-26.6847143,17.328,0.011,18.21,0.012,16.915,0.011,2,842.5222221366337,952.9359537286279
75972768915090023,276.89150989,-26.69190016,14.231,0.009,14.811,0.009,13.99,0.011,2,844.1123300071775,999.2171790975962
75972768909304574,276.89093046,-26.6881075,18.193,0.017,18.888,0.034,17.901,0.017,2,847.3582895231801,974.77864247012
75972768872915261,276.88729144,-26.68753554,18.267,0.012,18.864,0.018,17.954,0.013,2,868.2884236989387,971.035743243936
75972768871197533,276.88711968,-26.68564197,17.508,0.01,18.038,0.013,17.338,0.019,2,869.2330340789307,958.8362004954197
75972768867599504,276.88675961,-26.68399976,14.125,0.013,15.422,0.01,13.361,0.037,2,871.2673111285733,948.252684085642
75972768802481703,276.8802485,-26.69050069,15.353,0.01,16.247,0.01,14.939,0.011,2,908.8901276733252,990.0226113655433
75972768773423534,276.877342,-26.68897436,16.204,0.012,17.318,0.013,15.715,0.011,2,925.5827236798993,980.1456544065868
75972768741144516,276.87411408,-26.68815579,16.331,0.012,16.927,0.011,16.096,0.01,2,944.1415782636352,974.8228925364942
75962769446358959,276.94463544,-26.69278728,15.637,0.011,16.581,0.011,15.19,0.01,2,538.396209501426,1005.8592512846352
75962769420178224,276.94201798,-26.69339957,15.48,0.012,16.592,0.01,14.991,0.01,2,553.475538484111,1009.7543972934116
75962769396678037,276.93966753,-26.69355558,17.935,0.013,18.577,0.012,17.632,0.011,2,567.0062955363449,1010.7158087989319
75962769252942895,276.92529408,-26.69784001,17.377,0.011,18.043,0.015,17.076,0.01,2,649.8323199337503,1038.0520516206402
75962769250255089,276.92502545,-26.69601214,18.064,0.022,18.706,0.014,17.738,0.012,2,651.3323306184661,1026.2736871215402
75962769231125677,276.92311201,-26.69552195,17.323,0.011,18.025,0.021,16.967,0.01,2,662.3315826207463,1023.0823590262585
75962769166712397,276.91667131,-26.69825511,18.311,0.138,18.507,0.196,18.299,0.126,2,699.464295496272,1040.5740285537563
75962769130648336,276.91306499,-26.69330578,18.098,0.012,18.657,0.013,17.89,0.01,2,720.0963783320879,1008.6321673120361
75962769107496288,276.91074926,-26.69501318,17.812,0.011,18.422,0.011,17.547,0.011,2,733.4649484721822,1019.5899855700459
75962769063109577,276.90631085,-26.69227188,15.943,0.014,16.779,0.011,15.551,0.011,2,758.9412304925995,1001.8572334336695
75962769043582659,276.904358,-26.69803689,15.726,0.011,16.727,0.011,15.314,0.01,2,770.3186201331478,1038.9575643523258
75962769006898840,276.90068988,-26.69288584,17.774,0.015,18.387,0.011,17.522,0.012,2,791.3046687606948,1005.7173532078964
75972769531508002,276.95315023,-26.6852514,18.26,0.025,18.952,0.017,17.971,0.012,2,489.19390711517553,957.4801351154639
75972769567439244,276.95674334,-26.68421604,17.605,0.013,18.547,0.015,17.222,0.013,2,468.48662145289876,950.8799791795393
75982768674128386,276.86741221,-26.67659779,18.284,0.012,18.992,0.016,17.861,0.015,2,982.4558639659394,900.2731826094775
75982768704181630,276.87041845,-26.68222789,15.744,0.011,16.755,0.011,15.283,0.01,2,965.2783164225959,936.5834142881006
75982768749550171,276.8749556,-26.68344376,16.062,0.013,16.923,0.01,15.676,0.014,2,939.1920477410112,944.4850024636967
75982768760415219,276.87604159,-26.67923711,16.632,0.011,17.554,0.01,16.209,0.015,2,932.8464574083434,917.4061887179821
75982768774779649,276.87747795,-26.67554543,17.462,0.107,18.021,0.12,17.238,0.105,2,924.4954061752069,893.6499130903941
75982768899527094,276.88995281,-26.6776742,17.907,0.116,18.534,0.149,17.642,0.109,2,852.7414453382704,907.5602735186135
75982768915472151,276.89154755,-26.68179357,17.827,0.031,18.377,0.014,17.509,0.013,2,843.6589599001975,934.1196697593289
75982768965539956,276.89655303,-26.67528978,17.302,0.01,17.85,0.011,17.09,0.01,2,814.6957565109332,892.3097827169574
75982768988429545,276.89884217,-26.67563216,17.215,0.012,18.138,0.013,16.803,0.011,2,801.5278946729056,894.5529955593579
75982768994465288,276.89944642,-26.67917995,17.702,0.013,18.532,0.014,17.313,0.048,2,798.1343983452015,917.4148939201432
75982769007219461,276.90072163,-26.67570241,17.009,0.011,17.784,0.013,16.616,0.013,2,790.7116683506035,895.0367728110186
75982769029830974,276.90298394,-26.68277417,18.202,0.162,18.663,0.242,18.035,0.144,2,777.8597992738644,940.62492587642
75982769052326738,276.90523223,-26.67797092,17.956,0.015,18.646,0.013,17.661,0.012,2,764.803998242237,909.7243243785108
75982769070705853,276.90707021,-26.67870863,16.113,0.011,17.168,0.011,15.636,0.011,2,754.2429176650681,914.5071488719691
75982769088940903,276.90889421,-26.6828341,18.295,0.024,18.948,0.014,17.948,0.015,2,743.8447224368936,941.1109612202763
75982769129028885,276.91290287,-26.67618201,18.335,0.16,18.463,0.213,18.361,0.149,2,720.610001915429,898.3325842947395
75982769134033558,276.91340363,-26.68062158,15.321,0.01,16.074,0.01,14.928,0.012,2,717.8365542283498,926.9371579216892
75982769163708340,276.91637007,-26.67663594,17.15,0.012,17.811,0.013,16.759,0.013,2,700.6646001156232,901.3164538911151
75982769250344387,276.92503402,-26.67993054,17.735,0.01,18.675,0.014,17.313,0.012,2,650.8793288802831,922.6898549255033
75982769268183905,276.92681864,-26.68033191,18.148,0.109,18.917,0.131,17.8,0.104,2,640.6178211704568,925.3069485770062
75982769313474612,276.93134744,-26.67974262,17.47,0.013,18.267,0.019,17.066,0.011,2,614.5368220039804,921.5926140761487
75982769331785734,276.93317825,-26.67880799,18.199,0.014,18.761,0.019,17.94,0.01,2,603.9754904957049,915.6056824407809
75982769340553692,276.93405584,-26.68050945,18.393,0.123,18.862,0.172,18.221,0.113,2,598.9678399145139,926.5809823003771
75982769354610610,276.93546188,-26.68307774,16.547,0.012,17.638,0.016,16.106,0.012,2,590.9410522507787,943.1493358886075
75982769389934113,276.9389939,-26.68015847,17.95,0.011,18.87,0.017,17.564,0.011,2,570.5372734235076,924.4106483866478
75982769408976310,276.94089774,-26.67832805,18.261,0.014,18.962,0.012,17.965,0.012,2,559.5320839339006,912.6557870215173
75982769456883118,276.94568824,-26.68098767,18.253,0.037,18.794,0.02,18.097,0.085,2,532.0288826449416,929.8759255094925
75982769456896906,276.945689,-26.67783092,18.139,0.022,18.841,0.014,17.857,0.035,2,531.941980028143,909.5428580384789
75982769473954981,276.94739593,-26.67943541,15.965,0.011,16.953,0.011,15.544,0.013,2,522.1594277450173,919.9096219615307
75982769496320011,276.94963288,-26.68357739,17.898,0.011,18.71,0.01,17.546,0.012,2,509.39342662201744,946.6308627470761
75982769507537338,276.95075392,-26.6774711,18.297,0.03,18.967,0.012,18.087,0.011,2,502.7801438159253,907.3205813104407
75982769522265247,276.95222625,-26.6792134,16.847,0.011,17.443,0.013,16.614,0.012,2,494.35190058112863,918.5709265646083
